8-->05
9-->06
21-->17
24-->20
32-->28
44-->39
54-->48
2-->01
23-->19
26-->22
31-->27
33-->29
35-->31
6-->04
11-->08
22-->18
30-->26
34-->30
40-->36
46-->41
60-->51
70-->56
41-->37
45-->40
53-->47
69-->55
4-->02
56-->50
42-->38
17-->13
27-->23
49-->44
68-->54
20-->16
51-->46
39-->35
66-->53
47-->42
16-->12
55-->49
25-->21
37-->33
50-->45
36-->32
19-->15
38-->34
12-->09
28-->24
29-->25
13-->10
15-->11
